name,ftype,tier,lat,lon
Zor-Pev Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.79925,9.16149
Abadam General Hospital,General Hospital,Tier3 provincial hospital,13.61741,13.26488
Askira General Hospital,General Hospital,Tier3 provincial hospital,10.59499,13.04282
Azare General Hospital,General Hospital,Tier3 provincial hospital,10.526049,12.297839
Benishirk General Hospital,General Hospital,Tier3 provincial hospital,11.8072,12.4909
Biu General Hospital,General Hospital,Tier3 provincial hospital,10.62008,12.190185
Bolori (Health Facility 1),Comprehensive Health Centre,Tier3 provincial hospital,11.853499,13.143882
Bolori Ngoram (Health Facility 1),Comprehensive Health Centre,Tier3 provincial hospital,11.853499999999999,13.143882
Briyel General Hospital,General Hospital,Tier3 provincial hospital,10.347017,11.609822
Damasrk General Hospital,General Hospital,Tier3 provincial hospital,13.1014,12.50915
Damboa General Hospital,General Hospital,Tier3 provincial hospital,11.166857,12.761995
Dikwa General Hospital,General Hospital,Tier3 provincial hospital,12.04206169,13.91272008
Duji (Health Facility 1),Comprehensive Health Centre,Tier3 provincial hospital,13.25636,12.60344
Gajiram General Hospital,General Hospital,Tier3 provincial hospital,12.49143,13.21094
Gongulong Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,11.919994,13.186895
Gubio General Hospital,General Hospital,Tier3 provincial hospital,12.500128,12.774001
Gwoza General Hospital,General Hospital,Tier3 provincial hospital,11.08309,13.69416
Kirawa General Hospital,General Hospital,Tier3 provincial hospital,11.183359,13.8738
Konduga General Hospital,General Hospital,Tier3 provincial hospital,11.655914,13.415891
Kwa General Hospital (Health Facility 1),General Hospital,Tier3 provincial hospital,12.92579,13.57971
Kwaya General Hospital,General Hospital,Tier3 provincial hospital,10.5,11.83333
Lassa General Hospital,General Hospital,Tier3 provincial hospital,10.680135,13.267334
Mafa General Hospital (Health Facility 1),General Hospital,Tier3 provincial hospital,12.1,13.7
Magumeri General Hospital (Health Facility 1),General Hospital,Tier3 provincial hospital,12.1131,12.8274
Marama General Hospital,General Hospital,Tier3 provincial hospital,10.45487827,12.16203003
Marte General Hospital (Health Facility 3),General Hospital,Tier3 provincial hospital,12.364308,13.824915
Mongonu General Hospital,General Hospital,Tier3 provincial hospital,12.67863,13.60791
Ngala General Hospital,General Hospital,Tier3 provincial hospital,12.33771,14.18051
Ngoshe General Hospital,General Hospital,Tier3 provincial hospital,11.14164,13.77493
Rann General Hospital,General Hospital,Tier3 provincial hospital,12.28294,14.47243
Shani General Hospital (Health Facility 2),General Hospital,Tier3 provincial hospital,10.226303,12.053837
Shehuri General Hospital,General Hospital,Tier3 provincial hospital,12.43657,14.18327
Uba General Hospital,General Hospital,Tier3 provincial hospital,10.475774,13.190351
Umaru Shehu Hospital,Hospital,Tier3 provincial hospital,11.851893,13.153533
Unimaid Medical Health Centre,Hospital,Tier3 provincial hospital,11.803837,13.199779
Abanwan Polyclinic,Polyclinic,Tier4 central hospital,5.701529,7.964696
Akamkpa General Hospital,General Hospital,Tier3 provincial hospital,5.31278,8.35535
Akpet Central Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.61885,8.0958
Calabar General Hospital,General Hospital,Tier3 provincial hospital,4.953554,8.336237
Crutech Cal Medical Centre,Hospital,Tier3 provincial hospital,4.92632,8.332334
Ediba Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.872082,8.03711
Eja Memorial Joint Hospital,Hospital,Tier3 provincial hospital,6.271966,8.402777
Gabu Government Hospital,Hospital,Tier3 provincial hospital,6.864728,8.748556
Ikom Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.961,8.7107
Ikot Effiong Otop (UCTH) Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.15332,8.18667
Ikot Omin Polyclinic,Polyclinic,Tier4 central hospital,5.05893,8.3529
Ikun Polyclinic,Polyclinic,Tier4 central hospital,5.651682,7.964199
Isabang Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,5.917414,8.443589
Lutheran Hospital Yahe,Hospital,Tier3 provincial hospital,6.4697,8.49739
Oban Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.319908,8.588897
Obubra General Hospital,General Hospital,Tier3 provincial hospital,6.093136,8.322774
Ofat Polyclinic,Polyclinic,Tier4 central hospital,5.95862,8.2879
Ogoja General Hospital,General Hospital,Tier3 provincial hospital,6.651993,8.79412
Okpoma Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.540105,8.656413
Okpoma General Hospital,General Hospital,Tier3 provincial hospital,6.648932,8.638285
Okundi Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.41666,8.8
Ranch Medical Centre,Hospital,Tier3 provincial hospital,6.37522,9.37787
Sankwala General Hospital,General Hospital,Tier3 provincial hospital,6.617432,9.253742
St.Joseph Hospital.Ikot Ene,Hospital,Tier3 provincial hospital,4.915729,8.467664
Ugep General Hospital,General Hospital,Tier3 provincial hospital,5.81306,8.07732
Unical Medical Centre,Hospital,Tier3 provincial hospital,4.979391,8.336878
University Of Calabar Teaching Hospital,University Teaching Hospital,Tier4 central hospital,4.95466586,8.35086402
Abigborodu Government Hospital,Hospital,Tier3 provincial hospital,5.9,5.5332
Aboh General Hospital,General Hospital,Tier3 provincial hospital,5.566616,6.530939
Abraka General Hospital,General Hospital,Tier3 provincial hospital,5.790387,6.10211
Agbarho General Hospital,General Hospital,Tier3 provincial hospital,5.589559,5.852068
Agbarho Government Hospital,Hospital,Tier3 provincial hospital,5.5895600000000005,5.852068
Agbor General Hospital,General Hospital,Tier3 provincial hospital,6.241503,6.206121
Agbor-Alidinma General Hospital,General Hospital,Tier3 provincial hospital,6.26439,6.14773
Akukwu-Igbo General Hospital,General Hospital,Tier3 provincial hospital,6.35,6.5832
Asaba Okwe General Hospital,General Hospital,Tier3 provincial hospital,6.19688,6.728803
Ashaka Government Hospital,Hospital,Tier3 provincial hospital,5.63396,6.404612
Aviara Government Hospital,Hospital,Tier3 provincial hospital,5.390551,6.26619
Bomadi General Hospital,General Hospital,Tier3 provincial hospital,5.168713,5.913987
Burutu General Hospital,General Hospital,Tier3 provincial hospital,5.35,5.5166
"Delta State University Teaching Hospital, Oghara",University Teaching Hospital,Tier4 central hospital,5.958077,5.702441
Ebu Government Hospital,Hospital,Tier3 provincial hospital,6.482196,6.608217
Ehwere Government Hospital,Hospital,Tier3 provincial hospital,5.60758,5.89564
Ekpan General Hospital,General Hospital,Tier3 provincial hospital,5.562171,5.743354
Eku General Hospital,General Hospital,Tier3 provincial hospital,5.7667,6.0499
Erhoike Cottage Hospital,Cottage Hospital,Tier3 provincial hospital,5.764428,6.04908
Ewu Government Hospital,Hospital,Tier3 provincial hospital,5.37543,5.99099
Focados Government Hospital,Hospital,Tier3 provincial hospital,5.358637,5.433583
Ibusa General Hospital,General Hospital,Tier3 provincial hospital,6.172495,6.614921
Ibusa Government Hospital,Hospital,Tier3 provincial hospital,6.172484,6.614921
Igboli Ibusa Comprehensive Health Centre,Comprehensive Health Centre,Tier3 provincial hospital,6.166851,6.628273
